Strain,Ev,Acc,Rep,Week,D1Pop,D2Pop,D3Pop,D4Pop,D1FSC,D2FSC,D3FSC,D4FSC,Growth.Rate,Mean.FSC,PE.Count,Chl.a.read,Chl.a.per.cell,FvFm.0,PEDay,FvFm.PE,P,alpha,beta,E_k,P_I,O2.Count,O2.rate.light,O2.rate.dark,pgO2.cell.hr.light,pgO2.cell.hr.dark,g.sp.acc.bestfit,G_Old,G_O,pgC.cell,pgN.cell,Day1-redF,Day2-redF,Day3-redF,Day4-redF,Fm
2951,18,18,F,24,12064.19679,15098.12208,27977.81153,71723.84172,7973.468919,7472.264755,7282.494366,6607.896614,0.779126421,7334.031164,4199,,0.219092657,0.497,,0.712,165.284559,1.32105943,NA,125.115158,109.686952,,,,,,,,,,,3401.186321,3357.040015,3336.96049,3158.842841,18890
1391,24,18,A,24,10383.07485,12806.29062,17957.66959,31645.22248,7451.324847,6668.298437,7106.007616,7684.992419,0.452325342,7227.65583,79168,,0.115955556,0.47,,0.647,428.540307,2.47896371,NA,172.870747,223.505295,,,,,,,,,,,2764.146053,2825.149901,2788.998059,2992.552886,14858
1391,24,18,B,24,8969.086271,11424.12224,15462.07766,29036.59327,7504.090762,6872.329312,7535.76503,8141.913319,0.466414883,7513.524606,73940,,0.07844243,0.489,,0.667,306.755048,1.61946747,NA,189.417234,148.408419,,,,,,,,,,,2896.874711,3045.195151,3036.396984,3203.491726,13502
1391,24,18,C,24,10669.9035,11556.56238,15707.43232,27181.9292,6967.314308,5955.588997,7264.983528,8554.796997,0.427649469,7185.670958,57914,,0.13295685,0.481,,0.594,331.074243,2.18801505,NA,151.312599,191.67579,,,,,,,,,,,2800.12269,2804.174371,2950.458795,3161.352268,11496
1391,24,18,D,24,13405.98602,14509.90219,18768.97556,25209.97284,7200.786291,6435.854858,7879.493977,8647.977998,0.276204169,7541.028281,89911,,0.082748222,0.437,,0.624,285.416674,1.73295473,NA,164.69944,154.732806,,,,,,,,,,,2740.757394,2771.93661,2986.034669,3180.312259,10220
1391,24,18,E,24,9693.85986,10461.80538,15558.53877,24431.90287,6936.933359,6268.160102,7201.177038,7845.861142,0.424079365,7063.03291,98889,,0.078674335,0.491,,0.605,290.103823,1.66516069,NA,174.219716,150.355575,,,,,,,,,,,2749.714691,2786.427347,2914.90301,3129.665144,14168
1391,24,18,F,24,11723.83459,14009.69873,18391.53259,29607.95968,6799.415103,5997.476835,7945.07193,8933.307133,0.374146689,7418.81775,69598,,0.112359454,0.47,,0.579,231.677415,1.6347175,NA,141.723212,140.83919,,,,,,,,,,,2753.844579,2789.257689,3024.233488,3299.727775,13481
1393,24,18,A,24,21059.13272,19767.28051,17813.92523,20728.95335,8687.312924,8454.666482,8408.960962,8285.944866,0.151550968,8459.221309,2255,,0.195135232,0.303,,0.452,254.31638,1.17533805,NA,216.37722,109.823901,,,,,,,,,,,3865.983247,3946.853629,4040.857403,4335.379617,7328
1393,24,18,B,24,21809.45466,20588.18641,18591.88413,22310.06661,8539.166805,8380.945802,8210.665978,8133.312958,0.182312846,8316.022886,12636,,0.158283379,0.347,,0.485,225.995786,1.02095918,NA,221.356338,95.6741583,,,,,,,,,,,4016.988124,4152.237007,4118.944951,4335.735841,7354
1393,24,18,C,24,19520.96987,17443.7899,18249.02663,21506.7351,8549.350756,8253.475083,8099.435557,8001.721995,0.164254403,8225.995848,6887,,0.180055826,0.364,,0.539,247.810827,1.09357125,NA,226.606934,102.770976,,,,,,,,,,,3967.61479,3916.590135,4173.764036,4498.856861,7730
