,IDs,Strain,Light,Ev,Assay,Rep,Sp.Ev,FLB,OB,Os,Ts,TypeI.a,TypeI.AIC,TypeII.a,TypeII.h,TypeII.AIC,Type.bestfit,a.bestfit,G_O,Light.Ev.Acc
66,1391.100.24.30.F,1391,100,24,30,F,1393.24,7764,810000,810000,817764,1.05E-06,2.891996807,2.55E-06,0.187231887,-4.178757379,Type II,2.55E-06,1.49115292,100.24.
67,1391.100.24.33.A,1391,100,24,33,A,1393.24,30091,810000,810000,840091,1.02E-06,8.673951076,1.30E-05,0.293663592,-1.109643895,Type II,1.30E-05,2.570885299,100.24.
68,1391.100.24.33.B,1391,100,24,33,B,1393.24,30091,810000,810000,840091,7.51E-07,8.157523608,0.387484418,0.429412239,-1.681669002,Type II,0.387484418,2.328747271,100.24.
69,1391.100.24.33.C,1391,100,24,33,C,1393.24,30091,810000,810000,840091,7.97E-07,6.601350529,1.07E-05,0.376165236,-5.201122096,Type II,1.07E-05,2.032317584,100.24.
70,1391.100.24.33.D,1391,100,24,33,D,1393.24,0,810000,810000,810000,7.88E-07,7.950830633,5.23E-06,0.313424465,-10.94067611,Type II,5.23E-06,1.820535472,100.24.
71,1391.100.24.33.E,1391,100,24,33,E,1393.24,0,810000,810000,810000,7.11E-07,8.914900507,8.52E-06,0.375071424,-2.270620866,Type II,8.52E-06,1.92339224,100.24.
72,1391.100.24.33.F,1391,100,24,33,F,1393.24,0,810000,810000,810000,9.76E-07,9.143513977,3.14E-06,0.202343227,3.963818691,Type II,3.14E-06,1.678182058,100.24.
73,1391.100.24.36.A,1391,100,24,36,A,1393.24,1009,810000,810000,811009,8.23E-07,6.69405755,9.74E-06,0.410883149,1.337148752,Type II,9.74E-06,1.860196611,100.24.
74,1391.100.24.36.B,1391,100,24,36,B,1393.24,1009,810000,810000,811009,6.33E-07,4.887340675,1.53E-05,0.560319831,-0.38140804,Type II,1.53E-05,1.560067436,100.24.
75,1391.100.24.36.C,1391,100,24,36,C,1393.24,1009,810000,810000,811009,6.92E-07,3.895037384,5.32E-06,0.463879672,-1.937482323,Type II,5.32E-06,1.436487755,100.24.
76,1391.100.24.36.D,1391,100,24,36,D,1393.24,7410,810000,810000,817410,6.56E-07,5.931953109,7.85E-06,0.4904399,-5.411600735,Type II,7.85E-06,1.543741861,100.24.
77,1391.100.24.36.E,1391,100,24,36,E,1393.24,7410,810000,810000,817410,6.44E-07,5.133569408,6.08E-06,0.487072899,-6.509899669,Type II,6.08E-06,1.448743302,100.24.
78,1391.100.24.36.F,1391,100,24,36,F,1393.24,7410,810000,810000,817410,5.97E-07,3.111465716,3.17E-06,0.474684815,-5.661081512,Type II,3.17E-06,1.157618675,100.24.
79,1391.100.24.39.A,1391,100,24,39,A,1393.24,14387,810000,810000,824387,3.86E-07,-7.67007828,3.86E-07,0,-5.67007828,Type I,3.86E-07,0.312264752,100.24.
80,1391.100.24.39.B,1391,100,24,39,B,1393.24,14387,810000,810000,824387,3.24E-07,-7.211201079,3.24E-07,0,-5.211201079,Type I,3.24E-07,0.26266059,100.24.
81,1391.100.24.39.C,1391,100,24,39,C,1393.24,14387,810000,810000,824387,2.94E-07,-2.953219315,2.94E-07,0,-0.953219315,Type I,2.94E-07,0.2380467,100.24.
82,1391.100.24.39.D,1391,100,24,39,D,1393.24,8069,810000,810000,818069,3.55E-07,-0.025302395,1.60E-06,0.578690219,-9.137414137,Type II,1.60E-06,0.739331267,100.24.
83,1391.100.24.39.E,1391,100,24,39,E,1393.24,8069,810000,810000,818069,3.30E-07,-2.10961737,1.06E-06,0.549649845,-7.802325626,Type II,1.06E-06,0.583314903,100.24.
84,1391.100.24.39.F,1391,100,24,39,F,1393.24,8069,810000,810000,818069,2.62E-07,-7.898899159,5.78E-07,0.543759868,-12.48010133,Type II,5.78E-07,0.373142798,100.24.
85,1391.100.30.18.A,1391,100,30,18,A,1393.3,1715,876111.1111,876111.1111,877826.1111,7.83E-07,8.219142586,3.24E-05,0.349240242,-2.393565355,Type II,3.24E-05,2.600909709,100.30.
86,1391.100.30.18.B,1391,100,30,18,B,1393.3,1715,876111.1111,876111.1111,877826.1111,7.54E-07,9.516956621,0.200136529,0.36826694,-0.586280512,Type II,0.200136529,2.715379538,100.30.
87,1391.100.30.18.C,1391,100,30,18,C,1393.3,1715,876111.1111,876111.1111,877826.1111,6.53E-07,6.78510606,5.65E-05,0.424647613,-5.432363519,Type II,5.65E-05,2.247967978,100.30.
88,1391.100.30.18.D,1391,100,30,18,D,1393.3,0,876111.1111,876111.1111,876111.1111,3.69E-07,0.002182553,3.69E-07,0,2.002182553,Type I,3.69E-07,0.323652337,100.30.
89,1391.100.30.18.E,1391,100,30,18,E,1393.3,0,876111.1111,876111.1111,876111.1111,3.64E-07,-0.136958873,6.12E-07,0.264024106,0.938481068,Type I,3.64E-07,0.469934321,100.30.
90,1391.100.30.18.F,1391,100,30,18,F,1393.3,0,876111.1111,876111.1111,876111.1111,3.95E-07,0.019658292,1.05E-06,0.377203384,-3.266844396,Type II,1.05E-06,0.682464124,100.30.
91,1391.100.30.24.A,1391,100,30,24,A,1393.3,22142,876111.1111,876111.1111,898253.1111,6.36E-07,7.837886368,0.191094769,0.493664998,-2.136449575,Type II,0.191094769,2.025640678,100.30.
92,1391.100.30.24.B,1391,100,30,24,B,1393.3,22142,876111.1111,876111.1111,898253.1111,5.11E-07,3.798992885,6.85E-06,0.570149811,-5.164280197,Type II,6.85E-06,1.357187804,100.30.
93,1391.100.30.24.C,1391,100,30,24,C,1393.3,22142,876111.1111,876111.1111,898253.1111,4.46E-07,3.371424749,6.87E-06,0.658219334,-3.163143033,Type II,6.87E-06,1.212965413,100.30.
94,1391.100.30.24.D,1391,100,30,24,D,1393.3,3231,876111.1111,876111.1111,879342.1111,5.69E-07,11.94707007,0.13250943,0.459988127,6.958170568,Type II,0.13250943,2.173928445,100.30.
95,1391.100.30.24.E,1391,100,30,24,E,1393.3,3231,876111.1111,876111.1111,879342.1111,3.64E-07,9.335966574,0.116457824,0.658966409,2.015229334,Type II,0.116457824,1.517505464,100.30.
96,1391.100.30.24.F,1391,100,30,24,F,1393.3,3231,876111.1111,876111.1111,879342.1111,3.47E-07,8.859051283,0.133383601,0.689980292,1.278099465,Type II,0.133383601,1.449298784,100.30.
97,1391.100.30.27.A,1391,100,30,27,A,1393.3,843,876111.1111,876111.1111,876954.1111,8.38E-07,5.267271738,2.82E-06,0.263064433,-12.10126294,Type II,2.82E-06,1.498732622,100.30.
98,1391.100.30.27.B,1391,100,30,27,B,1393.3,843,876111.1111,876111.1111,876954.1111,7.50E-07,3.075844664,2.06E-06,0.264525918,-8.638893456,Type II,2.06E-06,1.222455648,100.30.
99,1391.100.30.27.C,1391,100,30,27,C,1393.3,843,876111.1111,876111.1111,876954.1111,6.84E-07,3.256859975,2.17E-06,0.312639043,-7.733461588,Type II,2.17E-06,1.191157548,100.30.
100,1391.100.30.27.D,1391,100,30,27,D,1393.3,2978,876111.1111,876111.1111,879089.1111,9.32E-07,6.174802452,4.98E-06,0.299719623,-0.337613863,Type II,4.98E-06,1.890696435,100.30.
101,1391.100.30.27.E,1391,100,30,27,E,1393.3,2978,876111.1111,876111.1111,879089.1111,7.49E-07,5.340119009,7.56E-06,0.414972292,-1.885200465,Type II,7.56E-06,1.767106896,100.30.
102,1391.100.30.27.F,1391,100,30,27,F,1393.3,2978,876111.1111,876111.1111,879089.1111,7.12E-07,5.657369316,1.17E-05,0.455183318,-1.095095433,Type II,1.17E-05,1.808661358,100.30.
103,1391.100.30.30.A,1391,100,30,30,A,1393.3,2625,876111.1111,876111.1111,878736.1111,6.94E-07,4.464774219,7.06E-06,0.438013664,-6.21202823,Type II,7.06E-06,1.667481345,100.30.
104,1391.100.30.30.B,1391,100,30,30,B,1393.3,2625,876111.1111,876111.1111,878736.1111,7.85E-07,2.159184414,2.53E-06,0.292755545,-12.68862467,Type II,2.53E-06,1.344353391,100.30.
105,1391.100.30.30.C,1391,100,30,30,C,1393.3,2625,876111.1111,876111.1111,878736.1111,7.10E-07,1.274155911,2.41E-06,0.331352573,-17.07333293,Type II,2.41E-06,1.241637817,100.30.
106,1391.100.30.30.D,1391,100,30,30,D,1393.3,7764,876111.1111,876111.1111,883875.1111,1.09E-06,3.698860856,3.10E-06,0.197830221,-5.19750159,Type II,3.10E-06,1.768322378,100.30.
107,1391.100.30.30.E,1391,100,30,30,E,1393.3,7764,876111.1111,876111.1111,883875.1111,8.36E-07,2.37613159,2.84E-06,0.279323033,-7.528822476,Type II,2.84E-06,1.466740081,100.30.
108,1391.100.30.30.F,1391,100,30,30,F,1393.3,7764,876111.1111,876111.1111,883875.1111,8.25E-07,3.808384231,4.44E-06,0.327736847,-7.277064069,Type II,4.44E-06,1.709575751,100.30.
109,1391.100.30.33.A,1391,100,30,33,A,1393.3,30091,876111.1111,876111.1111,906202.1111,1.13E-06,12.20156185,0.005350929,0.277261811,5.675095643,Type II,0.005350929,3.603926708,100.30.
110,1391.100.30.33.B,1391,100,30,33,B,1393.3,30091,876111.1111,876111.1111,906202.1111,1.17E-06,10.44955416,1.65E-05,0.252235777,5.315698552,Type II,1.65E-05,3.111897185,100.30.
111,1391.100.30.33.C,1391,100,30,33,C,1393.3,30091,876111.1111,876111.1111,906202.1111,1.16E-06,9.952161907,3.20E-05,0.263935951,-0.083351613,Type II,3.20E-05,3.337326691,100.30.
112,1391.100.30.33.D,1391,100,30,33,D,1393.3,0,876111.1111,876111.1111,876111.1111,8.62E-07,8.415858413,4.26E-06,0.26287502,-1.954223365,Type II,4.26E-06,1.88475331,100.30.
113,1391.100.30.33.E,1391,100,30,33,E,1393.3,0,876111.1111,876111.1111,876111.1111,6.85E-07,7.328841995,5.20E-06,0.3611601,-3.763527132,Type II,5.20E-06,1.722450146,100.30.
114,1391.100.30.33.F,1391,100,30,33,F,1393.3,0,876111.1111,876111.1111,876111.1111,6.66E-07,5.931630888,3.64E-06,0.349315448,-5.759006783,Type II,3.64E-06,1.508168847,100.30.
115,1391.100.30.36.A,1391,100,30,36,A,1393.3,1009,876111.1111,876111.1111,877120.1111,1.04E-06,9.15758519,1.28E-05,0.318284416,4.727222467,Type II,1.28E-05,2.454335601,100.30.
116,1391.100.30.36.B,1391,100,30,36,B,1393.3,1009,876111.1111,876111.1111,877120.1111,9.87E-07,1.233485944,2.26E-06,0.204027571,-3.95878747,Type II,2.26E-06,1.408804283,100.30.
117,1391.100.30.36.C,1391,100,30,36,C,1393.3,1009,876111.1111,876111.1111,877120.1111,8.85E-07,1.148249547,2.30E-06,0.249210974,-4.399854743,Type II,2.30E-06,1.340787032,100.30.
118,1391.100.30.36.D,1391,100,30,36,D,1393.3,7410,876111.1111,876111.1111,883521.1111,9.41E-07,10.2632077,7.08E-06,0.316310992,3.813273947,Type II,7.08E-06,2.093779393,100.30.
119,1391.100.30.36.E,1391,100,30,36,E,1393.3,7410,876111.1111,876111.1111,883521.1111,6.95E-07,8.892888294,0.175583763,0.494177473,-2.436905502,Type II,0.175583763,2.023537899,100.30.
120,1391.100.30.36.F,1391,100,30,36,F,1393.3,7410,876111.1111,876111.1111,883521.1111,7.55E-07,7.346990003,1.69E-05,0.437934972,-7.226547674,Type II,1.69E-05,1.978352033,100.30.
121,1391.100.30.39.A,1391,100,30,39,A,1393.3,14387,876111.1111,876111.1111,890498.1111,4.69E-07,-10.91465788,4.87E-07,0.022943825,-9.031895541,Type I,4.69E-07,0.422773987,100.30.
122,1391.100.30.39.B,1391,100,30,39,B,1393.3,14387,876111.1111,876111.1111,890498.1111,3.81E-07,-3.22047077,3.81E-07,0,-1.22047077,Type I,3.81E-07,0.333991613,100.30.
123,1391.100.30.39.C,1391,100,30,39,C,1393.3,14387,876111.1111,876111.1111,890498.1111,3.48E-07,-6.326068324,3.48E-07,0,-4.326068324,Type I,3.48E-07,0.305182234,100.30.
124,1391.100.30.39.D,1391,100,30,39,D,1393.3,8069,876111.1111,876111.1111,884180.1111,3.16E-07,-0.560578312,1.91E-06,0.690844347,-14.71843859,Type II,1.91E-06,0.776715746,100.30.
125,1391.100.30.39.E,1391,100,30,39,E,1393.3,8069,876111.1111,876111.1111,884180.1111,2.90E-07,-7.305247425,7.34E-07,0.538135289,-20.80027183,Type II,7.34E-07,0.477654783,100.30.
126,1391.100.30.39.F,1391,100,30,39,F,1393.3,8069,876111.1111,876111.1111,884180.1111,2.44E-07,-4.136332896,1.01E-06,0.808707303,-10.72687579,Type II,1.01E-06,0.517228657,100.30.
