Light,Strain,Ev,Acc,Rep,ExptDay,CellspmL,FSC,RedF,Chl.volextr,ChlReading,ChlperCell,Fm,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I
100,2951,24,30,C,2,67587,9172.485101,8299.734152,,,,7378,0.54,66.02184673,6.41E-01,73.53461135,8.289537451,0.000302768,0.646108066,0.122880748,0.003304296,113.8116287,6.444504972
100,2951,24,30,D,2,78074,8582.441722,12305.14336,,,,11635,0.55,41.86141235,5.92E-01,41.33907085,1.038878232,1.68E-08,0.949343249,0.092752906,5.07E-05,43.54491476,9.3299907
100,2951,24,30,E,2,89689,9068.247505,7508.709719,,,,8507,0.528,60.61003325,6.01E-01,61.99121948,4.077466325,2.23E-05,0.633032426,0.092122007,0.0009981,97.92739982,6.308411927
100,2951,24,30,F,2,79674,8811.873364,8579.455405,,,,8683,0.536,127.7071716,7.71E-01,203.5181523,9.109056321,3.34E-06,0.753724801,0.02026226,2.64E-07,270.0165258,7.533803938
100,1391,24,18,A,4,66141,10137.92652,5800.348276,4.5,2.25,0.170091373,3777,0.386,127.7961099,9.68E-01,154.4236134,4.474989316,3.94E-08,0.997986897,0.037197131,1.77E-07,154.735111,9.965998194
100,1391,24,18,B,4,155337,9893.510142,5399.704659,4.5,3.83,0.123280326,10156,0.466,171.0693301,1.21E+00,205.3909171,4.244698997,5.22E-09,1.34279166,0.036203548,2.56E-08,152.9581418,13.40881806
100,1391,24,18,C,4,122778,10212.83341,6071.983018,4.5,3.52,0.143347854,8095,0.464,158.907004,1.12E+00,196.6629984,3.328678796,1.58E-09,1.197834723,0.024182281,4.54E-09,164.1820817,11.96355682
100,1391,24,18,D,4,100249,9693.82075,6172.578107,4.5,3.42,0.170575959,6886,0.449,158.4416971,1.10E+00,196.6572023,3.858671277,3.83E-09,1.18434606,0.027308995,1.01E-08,166.0470777,11.82916293
100,1391,24,18,E,4,101230,9886.040726,5827.092319,4.5,3.05,0.150647472,7289,0.481,140.3174451,9.57E-01,169.1487375,3.431843754,4.68E-09,1.087268588,0.028183565,2.03E-08,155.5721735,10.85773611
100,1391,24,18,F,4,83090,9726.82591,5639.702102,4.5,3.1,0.186545709,4463,0.408,116.8601285,8.32E-01,145.012624,4.549204975,6.34E-08,0.881770647,0.032922126,1.79E-07,164.4561708,8.806854905
